"Metastasis","Primary","Variable"
32.3744191192742,32.3744191192742,"Edad"
63.8083646824519,63.8083646824519,"TP53"
0.531090949325064,0.531090949325064,"BRCA1"
0,0,"BRCA2"
97.3113520690418,97.3113520690418,"EGFR"
92.2106660765656,92.2106660765656,"KRAS"
15.1028988714317,15.1028988714317,"MYC"
55.4326178358044,55.4326178358044,"BCL2"
95.6184996680682,95.6184996680682,"VEGFA"
20.9338349192299,20.9338349192299,"CDKN2A"
37.7074574020801,37.7074574020801,"PTEN"
81.7437486169506,81.7437486169506,"ERBB2"
52.3345872980748,52.3345872980748,"AKT1"
47.1011285682673,47.1011285682673,"MTOR"
3.88360256693959,3.88360256693959,"MDM2"
72.3390130559858,72.3390130559858,"CCND1"
50.8630227926532,50.8630227926532,"RB1"
73.6556760345209,73.6556760345209,"APC"
87.0878512945342,87.0878512945342,"CTNNB1"
84.5762336800177,84.5762336800177,"ESR1"
72.2947554768754,72.2947554768754,"PGR"
0.829829608320417,0.829829608320417,"MKI67"
100,100,"VIM"
96.4262004868334,96.4262004868334,"CDH1"
97.4109316220403,97.4109316220403,"MMP9"
93.8703252932064,93.8703252932064,"HIF1A"
47.1121929630449,47.1121929630449,"CASP3"
46.4815224607214,46.4815224607214,"BAX"
64.759902633326,64.759902633326,"BCL2L1"
94.3571586634211,94.3571586634211,"IL6"
94.8439920336358,94.8439920336358,"STAT3"
