"componente","varianza_explicada","porcentaje","porcentaje_acumulado"
"PC1",0.261861025137137,26.1861025137137,26.1861025137137
"PC2",0.151108326660136,15.1108326660136,41.2969351797273
"PC3",0.0950929253907284,9.50929253907284,50.8062277188002
"PC4",0.0840216537901515,8.40216537901515,59.2083930978153
"PC5",0.0698607017020245,6.98607017020245,66.1944632680178
"PC6",0.0648554876055874,6.48554876055874,72.6800120285765
"PC7",0.0603238987333719,6.03238987333719,78.7124019019137
"PC8",0.0563029292803946,5.63029292803946,84.3426948299532
"PC9",0.0520216370193524,5.20216370193524,89.5448585318884
"PC10",0.042563409103604,4.2563409103604,93.8011994422488
"PC11",0.0354176905127445,3.54176905127445,97.3429684935233
"PC12",0.0265703150647673,2.65703150647673,100
